# epoch_start_s=1774903441
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
23.148,0.19871874,0.368707068,9.600749,-0.312294,-0.0443660032,-0.033041348,-2688,-256,14076
23.264,0.1316811,0.25857376,9.998186,-0.3344104,-0.095127108,-0.0303767232,-2688,256,13565
23.385,0.031124622,0.12689268,10.134656,-0.3112282,-0.07114548,-0.017852986,-3200,1280,14845
23.500,0.05746084,0.062249244,9.703699,-0.2115712,-0.009192956,-0.007860643,-3200,2816,15101
23.613,0.11252748,-0.14604631,9.921572,-0.3177565,-0.0210505368,-0.012656967,-2176,3328,15357
23.730,0.16759412,-0.20590134,9.667787,-0.3695835,0.016387442,-0.0210505368,-2176,4096,14589
23.846,0.05746084,-0.39504328,10.055647,-0.3458683,-0.010392036,0.015588055,-896,5632,14077
23.961,-0.023942016,-0.5410896,9.859323,-0.26126644,-0.008260337,0.021316998,-384,7936,13053
24.081,-0.12210429,-0.62967504,9.595961,-0.3016355,-0.017852986,0.017586524,896,9473,14077
24.203,-0.2681506,-0.7302315,9.832987,-0.284049,-0.03956968,-0.008393568,2432,10241,12029
24.315,-0.17477672,-0.8571242,9.77792,-0.3044334,0.0,0.019584992,2432,12033,13053
24.427,-0.2801216,-0.8499416,10.0029748,-0.231422636,0.0050627872,-0.01851914,3968,13825,12541
24.544,-0.50757076,-1.1085154,10.0508584,-0.32881472,0.0011990811,0.03117611,5760,14337,13053
24.667,-0.50996492,-1.1204864,9.452309,-0.23022358,0.008926493,0.058621744,6272,16385,13565
24.782,-0.6368576,-1.3263878,10.031705,-0.235552832,0.014522205,0.034906584,7808,17665,14589
24.899,-0.5291186,-1.400608,9.940725,-0.2106386,0.019984684,0.022382848,9088,17665,14845
25.012,-0.6464345,-1.42455,9.921572,-0.1957167,0.02784533,0.007727412,11904,16385,15869
25.124,-0.8595184,-1.42455,10.25676,-0.19465084,0.01718683,-0.0058621744,14720,16129,16893
25.237,-0.7661445,-1.3359646,10.314221,-0.19598316,0.0006661562,0.008127105,17280,14849,16893
25.359,-0.80445176,-1.4580688,10.316615,-0.16360796,0.03117611,0.013189893,19584,13825,19965
25.475,-0.7493851,-1.3551182,9.720459,-0.17493262,0.0067947932,0.0030643184,22912,11521,19965
25.591,-0.9840169,-1.400608,10.21127,-0.16933692,-0.0061286368,-0.005196018,26240,9729,21501
25.705,-0.8619126,-1.3599066,10.0029748,-0.16414088,-0.016920368,0.014522205,29056,7937,23037
25.822,-1.1348516,-1.3670892,10.371682,-0.14069219,-0.01385605,0.009059724,31872,6913,26365
25.943,-1.2066777,-1.2497733,10.060435,-0.062485452,-0.021316998,0.0050627872,-31104,4865,29437
26.061,-1.2258313,-1.0821792,9.940725,-0.008926493,0.014522205,0.019185298,-27520,3073,-31747
26.177,-1.0845734,-0.9576807,9.816227,-0.035705972,0.020650842,0.011058193,-27264,1281,-29443
26.293,-1.4101849,-0.6560113,9.880871,-0.00053292496,-0.012656967,0.033574272,-26240,1,-25091
26.409,-1.4317326,-0.61770404,9.765948,-0.051294024,0.011457887,0.04183461,-27008,-1279,-23044
26.525,-1.3623008,-0.545878,9.643845,-0.09779173,0.012656967,0.026246556,-27520,-2559,-19716
26.645,-1.3072342,-0.45729252,10.029311,-0.061419604,0.014255743,0.008660031,-27008,-3839,-16388
26.763,-1.2282255,-0.383072268,9.89763,-0.12537059,0.0075941808,0.007727412,-27264,-4607,-12292
26.879,-1.4293384,-0.21308396,10.151415,-0.07860643,-0.03530628,0.013456355,-28288,-4607,-9220
26.994,-1.5275006,-0.088585464,10.292673,-0.052759572,-0.013323124,0.007194487,-27520,-5887,-7684
27.110,-1.3790602,0.01436521,10.180145,-0.110715168,-0.06261868,0.02571363,-29568,-7423,-8964
27.232,-1.2186487,0.12689268,10.247183,-0.08540122,-0.10085605,0.02251608,-31360,-8191,-15108
27.347,-1.1204864,0.11731588,10.25676,-0.06794793,-0.1125804,0.05395865,30592,-7423,-24580
27.463,-0.9864111,0.24899698,9.849746,-0.11231393,-0.10845023,0.028777948,26240,-6143,31996
27.578,-0.936132864,0.23702596,9.923966,-0.11204748,-0.09885758,0.015321592,23424,-5375,26876
27.694,-1.0654198,0.51475332,9.854534,-0.06967994,-0.07700766,0.0061286368,20096,-5631,23292
27.808,-1.2497733,0.62967504,9.876082,-0.124970904,-0.09845789,0.028777948,17536,-5631,20732
27.930,-0.93852708,0.6584055,10.105926,-0.07674119,-0.115644716,0.026113322,14976,-5375,18172
28.047,-0.936132864,0.81881692,9.701305,-0.09566003,-0.1373614,0.014921899,12928,-4863,17404
28.163,-0.8331822,0.8738836,9.888053,-0.11178101,-0.15175038,-0.010658499,10624,-5375,15100
28.278,-0.91697928,0.94092125,10.103531,-0.17906278,-0.17919602,0.019185298,8832,-5119,11772
28.397,-0.60094464,0.9576807,9.962274,-0.18279328,-0.12803522,0.010258805,7808,-4863,10236
28.518,-0.320823,0.811634368,9.82341,-0.249941808,-0.0912634,-0.01851914,6272,-4607,10492
28.632,-0.40222588,0.78290397,9.986216,-0.23888362,-0.07780705,0.0031975498,5248,-4607,9724
28.749,-0.12449849,0.60573304,10.055647,-0.28924504,-0.09965697,-0.01292343,3712,-4607,8444
28.865,-0.29688102,0.5291186,10.096349,-0.3790429,-0.13269831,-0.04822971,2688,-3583,10748
28.980,-0.090979668,0.50517652,9.983821,-0.31522512,-0.11750995,-0.032108728,640,-3071,10236
29.095,-0.361524436,0.48362876,9.89763,-0.20264472,-0.08326952,-0.0018652374,128,-2559,10492
29.217,-0.15083471,0.3878607,10.072407,-0.24741042,-0.09539356,-0.0062618684,-1152,-1792,12028
29.332,-0.04070143,0.20590134,9.7324296,-0.29723892,-0.08007197,0.04090199,-2176,-1024,12284
29.446,0.2777274,-0.059855044,10.175357,-0.369183768,-0.03996937,-0.01505513,-2176,0,12541
29.561,0.2777274,-0.23942018,10.572795,-0.32042112,-0.06661562,-0.043433388,-3200,768,15613
29.676,-0.12689268,-0.16998832,9.91439,-0.3261501,-0.058488516,0.008393568,-4736,2304,15613
29.795,-0.062249244,-0.45968672,9.694122,-0.33254516,-0.005196018,-0.0015987749,-5760,3328,17149
29.910,-0.12928688,-0.5482722,9.452309,-0.35173048,-0.052226644,0.02997703,-6272,4608,16637
30.025,0.23463176,-0.7302315,9.31105,-0.31296018,-0.007327718,0.039169984,-6528,7168,18173
30.139,-0.2633622,-0.9959879,9.959879,-0.3429372,-0.0037304748,-0.01185758,-5248,8192,17917
30.252,-0.25378536,-1.1755531,9.68694,-0.35466156,-0.01385605,0.02038438,-4224,10240,17405
30.366,-0.30885202,-1.3742718,9.593566,-0.33374426,0.019451762,0.037837672,-2688,12544,15869
